year,name,college,pos,height,weight,hand_size,arm_length,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,60yd_shuttle,simple_pos,tag,drafted,player_id,draft_round,draft_pick,team,year_max,age,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,tackles_solo,rec_td,def_int,sacks,college_id,college_link,college_games,college_pass_yds,college_pass_td,college_pass_int,college_pass_cmp_pct,college_rush_yds,college_rush_td,college_rec_yds,college_rec_td,college_tackles,college_sacks,college_ints,college_fumbles,name_for_merge,Link,Name,POS,College,Year,RAS,Alltime RAS,Round,Draft Team
2021,Lawrence Woods,Truman State,CB,,,,,,,,,,,,,DB,"Lawrence Woods, Truman State",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lawrencewoods,,,,,,,,,
2021,Kenny Yeboah,Mississippi,TE,,,,,,,,,,,,,TE,"Kenny Yeboah, Mississippi",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kennyyeboah,,,,,,,,,
2021,Landon Young,Kentucky,OT,,,,,,,,,,,,,OL,"Landon Young, Kentucky",True,YounLa00,6,206.0,saints,2024.0,24.0,0.0,0.0,0.0,9.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Kentucky,http://www.sports-reference.com/cfb/players/landon-young-1.html,47.0,,,,,,,,,,,,,landonyoung,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=18631"">Link</a>",Landon Young,OT,Kentucky,2021.0,9.16,9.13,6.0,saints
2021,Zane Zandier,Virginia,ILB,,,,,,,,,,,,,LB,"Zane Zandier, Virginia",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zanezandier,,,,,,,,,
2022,Austin Allen,Nebraska,TE,79.63,253.0,9.5,33.63,,4.83,,34.0,121.0,4.26,,,TE,"Austin Allen, Nebraska",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,austinallen,,,,,,,,,
2022,Chase Allen,Iowa State,TE,78.0,251.0,9.63,34.13,,,,33.5,117.0,4.43,,,TE,"Chase Allen, Iowa State",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chaseallen,,,,,,,,,
2022,Christopher Allen,Alabama,OLB,75.5,241.0,10.0,33.0,,,,,,,,,LB,"Christopher Allen, Alabama",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,christopherallen,,,,,,,,,
2022,Tyler Allgeier,Brigham Young,RB,70.75,224.0,9.63,31.5,,4.6,,33.0,120.0,,,,RB,"Tyler Allgeier, Brigham Young",True,AllgTy00,5,151.0,falcons,2024.0,22.0,0.0,0.0,0.0,16.0,50.0,0.0,0.0,0.0,0.0,0.0,533.0,2362.0,10.0,47.0,420.0,2.0,4.0,,,BYU,http://www.sports-reference.com/cfb/players/tyler-allgeier-1.html,41.0,,,,,2904.0,36.0,437.0,1.0,,,,,tylerallgeier,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21383"">Link</a>",Tyler Allgeier,RB,BYU,2022.0,7.4,7.85,5.0,falcons
2022,Troy Andersen,Montana State,OLB,75.5,243.0,9.25,32.13,,4.42,,36.0,128.0,,,,LB,"Troy Andersen, Montana State",True,AndeTr00,2,58.0,falcons,2024.0,23.0,0.0,0.0,0.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.5,Montana State,,,,,,,,,,,,,,,troyandersen,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21560"">Link</a>",Troy Andersen,LB,Montana State,2022.0,10.0,9.99,2.0,falcons
2022,Tycen Anderson,Toledo,FS,73.88,209.0,10.13,33.0,,4.36,,35.5,123.0,4.28,,,DB,"Tycen Anderson, Toledo",True,AndeTy00,5,166.0,bengals,2024.0,23.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,Toledo,http://www.sports-reference.com/cfb/players/tycen-anderson-1.html,55.0,,,,,,,,,233.0,2.0,2.0,2.0,tycenanderson,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=21090"">Link</a>",Tycen Anderson,FS,Toledo,2022.0,9.49,9.6,5.0,bengals
