year,name,college,pos,height,weight,hand_size,arm_length,wonderlic,40_yard,bench_press,vert_leap,broad_jump,shuttle,3_cone,60yd_shuttle,simple_pos,tag,drafted,player_id,draft_round,draft_pick,team,year_max,age,all_pros_first_team,pro_bowls,years_as_primary_starter,career_av,g,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,tackles_solo,rec_td,def_int,sacks,college_id,college_link,college_games,college_pass_yds,college_pass_td,college_pass_int,college_pass_cmp_pct,college_rush_yds,college_rush_td,college_rec_yds,college_rec_td,college_tackles,college_sacks,college_ints,college_fumbles,name_for_merge,Link,Name,POS,College,Year,RAS,Alltime RAS,Round,Draft Team
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shemarstewart,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27236"">Link</a>",Shemar Stewart,DE,Texas A&amp;M,2025,10.0,10.0,1,bengals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nickemmanwori,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=27292"">Link</a>",Nick Emmanwori,SS,South Carolina,2025,10.0,10.0,2,seahawks
1999.0,Edgerrin James,Miami (FL),RB,72.0,216.0,8.88,30.0,,4.38,,,,3.88,,,RB,"Edgerrin James, Miami (FL)",True,JameEd00,1,4.0,colts,2009.0,21.0,1.0,4.0,9.0,113.0,148.0,0.0,0.0,0.0,0.0,0.0,3028.0,12246.0,80.0,433.0,3364.0,11.0,,,,Miami (FL),http://www.sports-reference.com/cfb/players/edgerrin-james-1.html,27.0,,,,,2929.0,32.0,595.0,3.0,,,,,edgerrinjames,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=4969"">Link</a>",Edgerrin James,RB,Miami,1999,10.0,9.99,1,colts
2001.0,Jarrod Cooper,Kansas State,SS,72.5,222.0,9.5,31.5,,4.43,,41.5,130.0,3.9,,,DB,"Jarrod Cooper, Kansas State",True,CoopJa20,5,143.0,panthers,2007.0,23.0,0.0,0.0,1.0,7.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,,1.5,Kansas State,,,,,,,,,,,,,,,jarrodcooper,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=5721"">Link</a>",Jarrod Cooper,SS,Kansas State,2001,10.0,9.99,5,panthers
2002.0,Javon Walker,Florida State,WR,74.8,210.0,9.75,32.5,,4.4,,39.5,124.0,4.05,,,WR,"Javon Walker, Florida State",True,WalkJa00,1,20.0,packers,2009.0,23.0,0.0,1.0,3.0,40.0,83.0,0.0,0.0,0.0,0.0,0.0,14.0,132.0,1.0,267.0,4011.0,31.0,1.0,,,Florida State,http://www.sports-reference.com/cfb/players/javon-walker-1.html,20.0,,,,,0.0,0.0,1257.0,10.0,,,,,javonwalker,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=6056"">Link</a>",Javon Walker,WR,Florida State,2002,10.0,9.99,1,packers
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mattjones,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7215"">Link</a>",Matt Jones,WR,Arkansas,2005,10.0,9.99,1,jaguars
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mannylawson,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7541"">Link</a>",Manny Lawson,LB,North Carolina State,2006,10.0,9.99,1,49ers
2007.0,Brannon Condren,Troy (AL),SS,72.88,208.0,,,,,,,,,,,DB,"Brannon Condren, Troy (AL)",True,CondBr99,4,131.0,colts,2008.0,24.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,Troy,http://www.sports-reference.com/cfb/players/brannon-condren-1.html,24.0,,,,,,,,,141.0,1.0,2.0,1.0,brannoncondren,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7721"">Link</a>",Brannon Condren,SS,Troy,2007,9.9,9.99,4,colts
2007.0,Calvin Johnson,Georgia Tech,WR,77.0,239.0,9.75,36.0,,4.38,,,,,,,WR,"Calvin Johnson, Georgia Tech",True,JohnCa00,1,2.0,lions,2015.0,21.0,3.0,6.0,9.0,78.0,135.0,0.0,0.0,0.0,0.0,0.0,19.0,167.0,1.0,731.0,11619.0,83.0,,,,Georgia Tech,http://www.sports-reference.com/cfb/players/calvin-johnson-1.html,38.0,,,,,40.0,1.0,2927.0,28.0,,,,,calvinjohnson,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=7730"">Link</a>",Calvin Johnson,WR,Georgia Tech,2007,10.0,9.99,1,lions
2008.0,Brian Johnston,Gardner-Webb (NC),DE,77.13,274.0,,,,,,,,,,,DL,"Brian Johnston, Gardner-Webb (NC)",True,JohnBr98,7,210.0,chiefs,2008.0,22.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Gardner-Webb,,,,,,,,,,,,,,,brianjohnston,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8081"">Link</a>",Brian Johnston,DE,Gardner-Webb,2008,10.0,9.99,7,chiefs
2010.0,Joe Webb,Alabama-Birmingham,WR,74.75,223.0,,,,,,,,,,,WR,"Joe Webb, Alabama-Birmingham",True,WebbJo00,6,199.0,vikings,2020.0,23.0,0.0,0.0,0.0,4.0,104.0,90.0,159.0,888.0,3.0,6.0,50.0,326.0,4.0,10.0,74.0,0.0,24.0,,,Ala-Birmingham,http://www.sports-reference.com/cfb/players/joe-webb-2.html,,,,,,2774.0,24.0,471.0,4.0,,,,,joewebb,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=8991"">Link</a>",Joe Webb,WR,Alabama Birmingham,2010,9.99,9.99,6,vikings
2012.0,Brandon Brooks,Miami (OH),OG,77.0,346.0,,,,4.99,,,,,,,OL,"Brandon Brooks, Miami (OH)",True,BrooBr00,3,76.0,texans,2021.0,23.0,0.0,3.0,7.0,50.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Miami (OH),http://www.sports-reference.com/cfb/players/brandon-brooks-1.html,,,,,,,,,,,,,,brandonbrooks,"<a class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=9742"">Link</a>",Brandon Brooks,OG,Miami OH,2012,9.98,9.99,3,texans
